trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,5,-30.96837486744482,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.02, 'e': 0.3134861808826053}",25,12,-55.23132654972023,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
59,False,"{'a': 0.02, 'e': 0.30727873860113125}",20,0,10.056435969595178,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.02, 'e': 0.30119421191220214}",30,6,-27.548607977642842,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.2952301669240142}",25,1,13.660740009620712,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.02, 'e': 0.2893842179390506}",20,5,15.974975214470547,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,0,18.630035834994985,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.02, 'e': 0.27803730045319414}",25,16,2.798645391244113,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.02, 'e': 0.2725317930340126}",20,11,2.0153911309395034,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.02, 'e': 0.26713530196585034}",30,23,12.218681934662596,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.261845668580326}",30,19,3.1766204807663114,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,11,19.51220975237362,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.25157855305975646}",25,15,-13.347885227689249,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.02, 'e': 0.24659696394160643}",25,0,-33.730611749767505,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.02, 'e': 0.24171401689703645}",35,0,48.544341443959965,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.02, 'e': 0.23692775868212176}",25,0,-7.423530731522584,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
